City,Combined_Amenities
Abu,"[""Children's play area (Swings)"", 'Power backup', 'Laptops (Paid)', 'Multilingual Staff (English, Gujarati)', 'Massage (Couple Massage)', 'Butler Services (For each floor)', 'Special Diet Meals', 'Disinfection (Common area)', 'Sitout Area (Poolside Sit-out-area)', 'Dry Cleaning services', 'Cooking class', 'Umbrellas', 'Massage', 'Electrical chargers (International Chargers)', 'Music System', 'Air Conditioning (Room controlled)', 'TV', 'Wake-up Call / Service', 'Disinfection (Reception, Rooms)', 'Indoor games (Pool Table, Table tennis)', 'TV (Cable, Flat screen, LED, Remote controlled)', 'Bar', 'Electrical Sockets', 'Indoor games', 'Postal services (Paid)', 'Outdoor sports (Badminton)', 'Indoor games (Foosball)', 'TV (LED, Remote controlled)', 'Business services', 'Meditation Room', 'Business Center', 'Photo Session', 'TV (Cable, Satellite TV)', 'Living Room', ""Children's play area (Books)"", 'Disinfection (Common area, Kitchen, Reception, Restaurant, Rooms, Washroom/Changing room)', 'Multilingual Staff', 'TV (Cable, Flat screen, LCD, LED, Remote controlled)', 'Radio', 'ATM', 'Luggage storage', 'Laptops (Free)', 'Indoor games (Table tennis)', 'Newspaper', 'Parking', 'Verandah', 'Face shields (for hotel staff)', 'Contactless check-in', 'Safe (Common safe)', 'Childcare service', 'Kitchen/Kitchenette', 'Telephone (Paid)', 'Childcare service (Cribs)', 'Smoke detector', 'Souvenir shop', 'Indoor games (Board Games, Puzzles)', 'Wifi (Paid)', 'CCTV', 'Restaurant (Halal)', 'Skiing', 'Shuttle Service (Paid)', 'Shuttle Service (Free)', 'Book shop', 'Grocery', 'Specially abled assistance (Tactile signs)', 'Safe (In room safe)', 'Spa', 'Temple/ Chapel', 'Safety kit (On arrival)', 'Intercom', 'Kitchen/Kitchenette (Utensils)', 'Wheelchair', 'Massage (Foot massage)', 'Boat ride (Paid)', 'Ticket/ Tour Assistance', 'Broadband (Yes)', 'Wheelchair (Paid)', 'Wifi', 'Photocopying', 'Laundry', 'Gloves', 'Bodyguards', 'Gloves (Free)', 'Sitout Area (Balcony)', 'Pet bowls', 'Outdoor sports (Badminton, Cricket, Horse Riding, Volleyball)', 'TV (Satellite TV)', 'TV (LED, Satellite TV)', 'TV (Flat screen, LCD, LED)', 'Pickup/ Drop (Paid)', 'Elevator/ Lift', 'Disinfectant wipes', 'Steam and Sauna (Paid)', 'Kitchen/Kitchenette (Cutlery)', 'Restaurant', 'Electrical chargers', 'Electrical Adapters Available', 'Telephone (Free Local Calls)', 'Disinfection (Common area, Reception, Rooms)', 'Printer', 'Refrigerator', 'Swimming Pool (Common Pool, Kids Pool)', 'Parking (Free)', 'Swimming Pool (Pool with a view, Roof Top Pool)', 'Private Entrance ', 'Bathroom (Common)', 'Outdoor sports (Archery)', 'Hair nets (for hotel staff)', 'Guided Tours And Treks (Free)', 'TV (Flat screen, LCD, Satellite TV)', 'Childcare service (Babysitting)', ""Kids' Club"", 'Bakery', 'Outdoor sports', 'Fireplace', 'Cafe (Limited Hours)', 'TV (Cable)', 'Outdoor Furniture', 'Facial treatments', 'Fire Alarm', 'Kids meals', 'Gym/ Fitness centre', 'Coffee shop', 'TV (Cable, Flat screen, HD Channels, LED)', 'Face shields', 'Newspaper (English)', 'Airport Transfers', 'TV (Cable, LED, Remote controlled)', 'Safe', 'Security Guard', 'Room service (24 hours)', 'Medical centre', 'Disinfection', 'Lounge (Shared)', 'Bonfire Pit', 'PPE (Personal Protective Equipment) kits', 'Masks', 'Bus Station transfers (Paid)', 'Smart Door Lock', 'Sitout Area (Seating Arrangement on the Lawn)', 'Smoke detector (Lobby)', 'Currency Exchange', 'Guided Tours And Treks', 'Vehicle Rentals (Paid)', 'Multilingual Staff (English)', 'Washing Machine', 'Seating Area', 'Vehicle Rentals', 'Newspaper (Local Language)', 'Cafe', 'Security (24 hours security)', 'Sanitizers (Free)', 'Outdoor sports (Basketball, Volleyball)', 'Ironing services (Paid)', 'Bus Station transfers (Free)', 'Luggage assistance', 'Sitout Area', 'Restaurant (Kosher)', 'Bonfire (On Request)', 'TV (HD Channels)', 'Jacuzzi', 'PPE (Personal Protective Equipment) kits (for hotel staff)', 'Specially abled assistance (Wheelchair)', 'Shuttle Service', 'TV (Flat screen, HD Channels, LED, Remote controlled)', 'Restaurant (Halal, Kosher)', 'LAN (Paid)', 'Vending Machine', 'Phone Network (Yes)', 'Railway Station Transfers (Paid)', 'Swimming Pool', 'Safety authorization certificate', 'Banquet', 'Cycling', 'Butler Services', 'Safety kit', 'Picnic area', 'Smoke alarms', 'Shops', 'Postal services', 'Massage (Couple Massage, Foot massage)', 'Disinfection (Reception)', 'Telephone (Free Local Calls, International Calls)', 'Lawn', 'TV Area', 'Ironing services', 'Telephone (International Calls)', 'Outdoor sports (Cricket)', ""Children's play area"", 'Laundromat', 'LAN (Free)', 'Air Conditioning', 'Specially abled assistance (Tactile signs, Wheelchair)', 'Reception', 'Sun Deck', 'Fire extinguishers', 'Room service', 'Bonfire', 'Activity Centre', 'Outdoor sports (Hiking, Rock climbing)', 'Gloves (Paid)', 'Fax service', 'Sanitizers', 'Railway Station Transfers', 'Ironing services (Free)', 'TV (Cable, Flat screen, International Channels, LED, Remote controlled, Satellite TV)', 'TV (Cable, Flat screen, HD Channels, International Channels, LCD, LED, Remote controlled, Satellite TV)', 'First-aid services', 'Events', 'Wheelchair (Free)', 'Contactless room service', 'Hair treatment', 'Sitout Area (Verandah)', 'Housekeeping', 'TV (Flat screen, HD Channels, International Channels, LCD, LED, Remote controlled, Satellite TV)', 'Security', 'Disinfection (Common area, Lobby, Reception, Restaurant, Rooms, Spa, Washroom/Changing room)', 'Specially abled assistance', 'Disinfectant wipes (Paid)', 'Dispensors for disinfectants', 'Indoor games (Pool Table)', 'Playground', 'Hospital in the vicinity (Less than 5 km)', 'Electrical chargers (IOS)', 'Public restrooms', 'TV (Flat screen)', 'Outdoor sports (Archery, Hiking, Horse Riding, Rock climbing)', 'Wifi (Free)', 'Electrical Sockets (Paid)', 'Kitchen/Kitchenette (Cooking appliances, Induction, Utensils)', 'Emergency exit map', 'Shoe covers (for hotel staff)', 'Telescope', 'Telephone (Free Local Calls, International Calls, Paid)', 'Safety and Security', 'Manicure/ Pedicure', 'Bellboy service', 'Jungle Safari (Paid)', 'Library', 'Masks (Paid)', 'Spa (Paid)', 'Smoke detector (In Room, Lobby)', 'Hair nets', 'Fireplace (Indoor)', 'Hospital in the vicinity', 'Telephone (Free Local Calls, Paid)', 'Outdoor sports (Badminton, Cricket)', 'Coffee shop (Limited Hours)', ""Children's play area (Books, Swings)"", 'Hospital in the vicinity (Between 5 and 10 km)', 'Electrical Sockets (Free)', 'Security alarms', 'Indoor games (Board Games, Carrom Board)', 'Disinfectant wipes (Free)', 'Electrical chargers (IOS, Vehicle charging)', 'Balcony/ Terrace', 'TV (Flat screen, LCD, LED, Remote controlled)', 'Bathroom (Attached)', 'Ironing services (Limited Pieces of Laundry Free)', 'Game Room', 'Sanitizers installed', 'TV (LED)', 'Masks (Free)', 'Telephone', 'Mail services', 'TV (Cable, Flat screen, LCD, Remote controlled)', 'Swimming Pool (Common Pool)', 'Torch', 'Lounge', 'Air Conditioning (Centralized)', 'Indoor games (Board Games, Carrom Board, Pool Table, Table tennis)', 'Public transit tickets', 'Barbeque', 'Bathroom', 'TV (Flat screen, LED)', 'Disposable serveware', 'Caretaker', 'LAN', 'Bus Station transfers', 'Pickup/ Drop', 'TV (Cable, Remote controlled, Satellite TV)', 'Lounge (Private)', 'Pet baskets', 'Yoga', 'Smoke detector (In Room)', 'Dining Area', 'Guided Tours And Treks (Paid)', 'Fireplace (Outdoor)', 'Airport Transfers (Paid)', 'Concierge', 'Pool/ Beach towels', 'Conference room', 'EV Charging Station', 'Sanitizers (Paid)', 'Salon', 'Electronic keycard', 'Postal services (Free)', 'Parking (Paid)', 'Smoking rooms', 'Doctor on call', 'Room service (Limited duration)', 'TV (Flat screen, LCD)', 'TV (LCD)', 'Thermal screening at entry and exit points', 'Newspaper (English, Local Language)', 'Bonfire (Paid)', 'Shoe covers', 'Laundry (Paid)', 'TV (Cable, LCD, Remote controlled)']"
Agra,"[""Children's play area (Swings)"", 'Power backup', 'Laptops (Paid)', 'Multilingual Staff (English, Gujarati)', 'Massage (Couple Massage)', 'Butler Services (For each floor)', 'Special Diet Meals', 'TV (Cable, Flat screen, HD Channels, LED, Remote controlled)', 'Lounge (Private, Shared)', 'Dry Cleaning services', 'Cooking class', 'Umbrellas', 'Massage', 'Electrical chargers (International Chargers)', 'Disinfection (Elevator, Lobby, Reception, Restaurant, Rooms)', 'Music System', 'Air Conditioning (Room controlled)', 'TV', 'Wake-up Call / Service', 'Indoor games (Pool Table, Table tennis)', 'TV (Cable, Flat screen, LED, Remote controlled, Satellite TV)', 'TV (Cable, Flat screen, LED, Remote controlled)', 'Bar', 'Aquarium', 'Electrical Sockets', 'Indoor games', 'Kitchen/Kitchenette (Microwave)', 'Postal services (Paid)', 'TV (Cable, Flat screen, LCD, LED)', 'Outdoor sports (Badminton)', 'Reflexology', 'TV (Flat screen, HD Channels, International Channels, Remote controlled)', 'TV (LED, Remote controlled)', 'Business services', 'Meditation Room', 'Business Center', 'TV (International Channels, LCD, Remote controlled, Satellite TV)', 'Photo Session', 'TV (Cable, Flat screen, Remote controlled)', 'Kitchen/Kitchenette (Cooking appliances, Cutlery, Toaster)', 'TV (Cable, Satellite TV)', 'Outdoor sports (Badminton, Cricket, Tennis)', 'Living Room', 'Disinfection (Common area, Kitchen, Reception, Restaurant, Rooms, Washroom/Changing room)', 'Multilingual Staff', 'Radio', 'ATM', 'Beach club', 'Events (DJ, Fire Show, Folk Dance, Karaoke, Live Band, Live Ghazal, Live Music, Live Singer, Magic, Movies, Puppet Show, Stand-up Comedy)', 'Luggage storage', 'Laptops (Free)', 'Newspaper', 'Pickup/ Drop (Free)', 'Parking', 'Verandah', 'Face shields (for hotel staff)', 'Contactless check-in', 'Safe (Common safe)', 'TV (Cable, LCD)', 'Childcare service', 'Childcare service (Babysitting, Cribs)', 'Kitchen/Kitchenette (Cutlery, Induction, Microwave, Toaster, Utensils)', 'Kitchen/Kitchenette', 'Telephone (Paid)', 'Smoke detector', 'Souvenir shop', 'Kitchen/Kitchenette (Cooking appliances, Cutlery)', 'Wifi (Paid)', 'CCTV', 'Restaurant (Halal)', 'Steam and Sauna (Free)', 'Kitchen/Kitchenette (Induction, Microwave, Toaster, Utensils)', 'Shuttle Service (Paid)', 'Shuttle Service (Free)', 'Book shop', 'Grocery', 'Steam and Sauna', 'TV (HD Channels, LED, Remote controlled, Satellite TV)', 'Coffee shop (24*7)', 'Public bath', 'Safe (In room safe)', 'Spa', 'Temple/ Chapel', 'Safety kit (On arrival)', 'Intercom', 'TV (Flat screen, HD Channels, International Channels, LED)', 'Wheelchair', 'Massage (Foot massage)', 'Boat ride (Paid)', 'Ticket/ Tour Assistance', 'Canoeing (Paid)', 'Broadband (Yes)', 'Wheelchair (Paid)', 'Strollers', 'Wifi', 'Photocopying', 'Hot Spring bath', 'Events (DJ)', 'Laundry', 'Gloves', 'Bodyguards', 'Gloves (Free)', 'Sitout Area (Balcony)', 'Pet bowls', 'TV (Satellite TV)', 'Kitchen/Kitchenette (Cutlery, Utensils)', 'TV (LED, Satellite TV)', 'TV (Flat screen, LCD, LED)', 'Pickup/ Drop (Paid)', 'Elevator/ Lift', 'Events (Live Singer, Movies)', 'Disinfectant wipes', ""Children's play area (Video Games)"", 'Indoor games (Board Games, Carrom Board, Dart, Foosball, Table tennis)', 'Solarium', 'Kitchen/Kitchenette (Cutlery)', 'Steam and Sauna (Paid)', 'Hammam', 'Events (Movies)', 'Restaurant', 'Electrical chargers', 'Electrical Adapters Available', 'Telephone (Free Local Calls)', 'TV (Cable, HD Channels, LED, Remote controlled)', 'Prayer Room', 'Kitchen/Kitchenette (Microwave, Toaster)', 'Refrigerator', 'Printer', 'Parking (Free)', 'TV (LCD, LED)', 'Welcome kit', 'Specially abled assistance (Auditory Guidance)', 'Private Entrance ', 'Salon (Waxing)', 'Bathroom (Common)', 'Hair nets (for hotel staff)', 'Swimming Pool (Roof Top Pool)', 'Guided Tours And Treks (Free)', 'Childcare service (Babysitting)', ""Kids' Club"", 'Bakery', 'Outdoor sports', 'Fireplace', 'Cafe (Limited Hours)', 'TV (Cable)', 'Outdoor Furniture', 'Facial treatments', 'Fire Alarm', 'Open air bath', 'Kids meals', 'Salon (Hair Cut, Waxing)', 'Night Club', 'Gym/ Fitness centre', 'Kitchen/Kitchenette (Cooking appliances, Utensils)', 'Coffee shop', 'Swimming Pool (Common Pool, Sunny Swimming)', 'Face shields', 'Newspaper (English)', 'Airport Transfers', 'Safe', 'Security Guard', 'Room service (24 hours)', 'Medical centre', 'Electrical chargers (International Chargers, Vehicle charging)', 'Disinfection', 'Lounge (Shared)', 'Pub', 'Bonfire Pit', 'PPE (Personal Protective Equipment) kits', 'Kitchen/Kitchenette (Cutlery, Toaster)', 'Masks', ""Children's play area (Books, Music)"", 'Bus Station transfers (Paid)', 'Smart Door Lock', 'Sitout Area (Seating Arrangement on the Lawn)', 'Smoke detector (Lobby)', 'TV (Cable, Flat screen, HD Channels, International Channels, LED, Remote controlled, Satellite TV)', 'TV (Cable, Flat screen, LED)', 'Butler Services (For each floor, Personal)', 'Home Theatre', 'Currency Exchange', 'Guided Tours And Treks', ""Children's play area (Music, Swings)"", 'Vehicle Rentals (Paid)', 'Multilingual Staff (English)', ""Children's play area (Music, Video Games)"", 'Washing Machine', 'TV (Cable, International Channels, LCD, LED)', ""Children's play area (Books, DVDs, Video Games)"", 'Events (Live Music)', 'Indoor games (Air Hockey, Carrom Board, Pool Table, Table tennis)', 'Kitchen/Kitchenette (Cooking appliances, Cutlery, Induction, Microwave, Toaster)', 'Seating Area', 'Vehicle Rentals', 'Newspaper (Local Language)', 'Cafe', 'Security (24 hours security)', 'Sanitizers (Free)', 'TV (Cable, HD Channels, LCD)', 'Ironing services (Paid)', 'Bus Station transfers (Free)', 'Luggage assistance', 'Sitout Area', 'Restaurant (Kosher)', 'TV (Flat screen, HD Channels, LED, Satellite TV)', 'Bonfire (On Request)', 'TV (HD Channels)', 'Jacuzzi', 'PPE (Personal Protective Equipment) kits (for hotel staff)', 'Specially abled assistance (Wheelchair)', 'Events (Live Band, Live Ghazal, Live Singer)', 'Shuttle Service', 'Restaurant (Halal, Kosher)', 'LAN (Paid)', 'TV (Cable, HD Channels, LED)', 'Vending Machine', 'TV (HD Channels, LED)', 'Phone Network (Yes)', 'Railway Station Transfers (Paid)', 'Electrical chargers (International Chargers, IOS)', 'Swimming Pool', 'Safety authorization certificate', 'Banquet', 'Disinfection (Common area, Elevator, Lobby, Reception, Restaurant, Rooms, Washroom/Changing room)', 'Butler Services', 'Cycling', 'Safety kit', 'Picnic area', 'Salon (Hair Cut)', 'Smoke alarms', 'Gym/ Fitness centre (24-hour)', 'TV (Flat screen, HD Channels, LCD)', 'Shops', 'Jacuzzi (Available for couples)', 'Aerobics (Free)', 'Postal services', 'Massage (Couple Massage, Foot massage)', 'Lawn', 'Laundry (Free)', 'TV Area', 'Events (DJ, Live Band, Live Music)', 'Ironing services', 'Telephone (International Calls)', 'Outdoor sports (Cricket)', ""Children's play area"", 'TV (Cable, Flat screen, LCD, LED, Satellite TV)', 'Laundromat', 'LAN (Free)', 'Specially abled assistance (Braille, Wheelchair)', 'Air Conditioning', 'Disinfection (Rooms)', 'Gym/ Fitness centre (24-hour, Personal Trainer)', 'Specially abled assistance (Tactile signs, Wheelchair)', 'Laptops', ""Children's play area (Music)"", 'Butler Services (Personal)', 'TV (Cable, LED)', 'Reception', 'Phone Network', 'Sun Deck', 'Fire extinguishers', 'Room service', 'TV (Flat screen, LCD, Remote controlled)', 'Bonfire', 'Activity Centre', 'Gloves (Paid)', 'TV (Flat screen, HD Channels, LED)', 'Events (DJ, Live Music)', 'Swimming Pool (Common Pool, Kids Pool, Roof Top Pool)', 'Fax service', 'Welcome kit (On arrival)', 'Sanitizers', 'Railway Station Transfers', 'Ironing services (Free)', 'TV (Cable, Flat screen, International Channels, LED, Remote controlled, Satellite TV)', 'TV (Cable, Flat screen, HD Channels, International Channels, LCD, LED, Remote controlled, Satellite TV)', 'First-aid services', 'Events', 'Multilingual Staff (Bengali, English, Punjabi)', 'Water sports (Diving)', 'Wheelchair (Free)', 'Contactless room service', 'Hair treatment', 'Sitout Area (Verandah)', 'Housekeeping', 'Events (Puppet Show)', 'Security', 'Specially abled assistance', 'Disinfectant wipes (Paid)', 'Dispensors for disinfectants', 'Indoor games (Pool Table)', 'Playground', 'Hospital in the vicinity (Less than 5 km)', 'Electrical chargers (IOS)', 'Public restrooms', 'TV (Flat screen)', 'Wifi (Free)', 'Electrical Sockets (Paid)', 'Emergency exit map', 'TV (Flat screen, LED, Remote controlled)', 'Carbon Monoxide Detector', 'Jewellery Shop', 'Shoe covers (for hotel staff)', 'Telescope', 'Golf', 'Telephone (Free Local Calls, International Calls, Paid)', 'Safety and Security', 'Manicure/ Pedicure', 'Bellboy service', 'TV (Cable, Flat screen, LED, Satellite TV)', 'Jungle Safari (Paid)', 'Library', 'Masks (Paid)', 'Smoke detector (In Room, Lobby)', 'Spa (Paid)', 'Hair nets', 'Railway Station Transfers (Free)', 'Fireplace (Indoor)', 'Hospital in the vicinity', 'Multilingual Staff (Bengali, English)', 'Telephone (Free Local Calls, Paid)', 'Outdoor sports (Badminton, Cricket)', 'Coffee shop (Limited Hours)', 'Hospital in the vicinity (Between 5 and 10 km)', 'Electrical Sockets (Free)', 'Security alarms', 'Indoor games (Board Games, Carrom Board)', 'Disinfectant wipes (Free)', 'Balcony/ Terrace', 'Indoor games (Board Games, Carrom Board, Puzzles)', 'Kitchen/Kitchenette (Cooking appliances, Cutlery, Induction, Microwave, Toaster, Utensils)', 'Bathroom (Attached)', 'Ironing services (Limited Pieces of Laundry Free)', 'Game Room', 'Kitchen/Kitchenette (Cooking appliances)', 'Sanitizers installed', 'TV (LED)', 'Access Control System', 'Masks (Free)', 'Telephone', 'Mail services', 'Swimming Pool (Common Pool, Pool with a view, Sunny Swimming)', 'TV (Cable, Flat screen, LCD, Remote controlled)', 'TV (Flat screen, HD Channels, International Channels, LED, Remote controlled, Satellite TV)', 'Swimming Pool (Common Pool)', 'Torch', 'Lounge', 'Public transit tickets', 'Air Conditioning (Centralized)', 'Barbeque', 'Bathroom', 'TV (Flat screen, LED)', 'Disposable serveware', 'Caretaker', 'LAN', 'Kitchen/Kitchenette (Cooking appliances, Cutlery, Microwave, Toaster, Utensils)', 'Bus Station transfers', 'Pickup/ Drop', 'Swimming Pool (Heated Pool, Plunge Pool, Roof Top Pool, Sunny Swimming)', 'Lounge (Private)', 'Pet baskets', 'Yoga', 'Smoke detector (In Room)', 'Dining Area', 'Guided Tours And Treks (Paid)', 'Fireplace (Outdoor)', 'Airport Transfers (Paid)', 'Concierge', 'Pool/ Beach towels', 'TV (Cable, International Channels, LED, Remote controlled)', 'Conference room', 'EV Charging Station', 'Indoor games (Carrom Board)', 'Kitchen/Kitchenette (Cutlery, Microwave)', 'Sanitizers (Paid)', 'Salon', 'Electrical chargers (Vehicle charging)', 'Electronic keycard', 'Postal services (Free)', 'Kitchen/Kitchenette (Cutlery, Toaster, Utensils)', 'Parking (Paid)', 'Smoking rooms', 'Doctor on call', 'Room service (Limited duration)', 'Indoor games (Board Games, Carrom Board, Pool Table)', 'TV (Flat screen, LCD)', 'TV (International Channels)', 'Lounge (Cigar lounge)', 'TV (LCD)', 'Indoor games (Board Games, Dart)', 'Telephone (International Calls, Paid)', 'Sea plane (Free)', 'Thermal screening at entry and exit points', 'TV (Flat screen, Satellite TV)', 'Newspaper (English, Local Language)', 'Movie Room', 'Cafe (24*7)', 'Bonfire (Paid)', 'Shoe covers', 'Laundry (Paid)']"
